Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
1004;RC complex during S-phase of cell cycle;;Human;P20248,P24941,P18858,P09874,P09884,P28340,Q07864,P35251,P35250,P27694,P15927,P35244,P11387;890,1017,3978,142,5422,5424,5426,5981,5982,6117,6118,6119,7150;MI:0071- molecular sieving | MI:0029- cosedimentation through density gradients | MI:0006- anti bait coimmunoprecipitation;12006500;10.01.03,10.03.01.03,16.03.01,70.10.03;"CDK2 associates with the RC complex only during the S-phase of the cell cycle, but disappeares in the G2-phase.";"";"";
3041;TGF-beta-receptor type II homodimer complex;;Human;P37173;7048;MI:0007- anti tag coimmunoprecipitation;7521335;16.01,30.05.01.18.01,70.02;"TGF-beta receptor type II forms a homomeric complex in the absence of the ligand TGF-beta.";"";"";
5502;EED-EZH-YY1 polycomb complex;;Human;O75530,Q15910,P25490;8726,2146,7528;MI:0006- anti bait coimmunoprecipitation;11158321;11.02.03.04.03,11.02.03.04.07,16.03.01,70.10;"";"";"";
1250;pRB-E2F-1 complex;;Human;Q01094,P06400;1869,5925;MI:0019- coimmunoprecipitation;17380128;10.03.01.02,32.01.09,70.10;"The phosphorylation of pRB at Ser612 is induced by ATM-Chk1/2 kinase after DNA damage, leading to enhancement of the formation of a complex between pRB and E2F-1. It is proposed, that in asynchronously growing cells, pRB exists in a predominantly phosphorylated state, which is dissociated from E2F, allowing E2F-dependent transcription. DNA damage induces dephosphorylation of pRB at Cdk phosphorylation sites, leading to the complex pRB-E2F-1 being formed. DNA damage also activates ATM kinase and transduces signals to the checkpoint kinases Chk1 and Chk2. Activated Chk1 and Chk2 phosphorylate Ser612 of pRB and this phosphorylation enhances the formation of a complex between pRB and E2F-1, leading to repression of the transcriptional activity of E2F-1. Consequently, pRB-dependent cell cycle arrest and repression of apoptosis occur.";"";"";
840;Disc1-Grb2-Kif5a complex;;Rat;Q810H6,P62994,Q6QLM7;307940,81504,314906;MI:0019- coimmunoprecipitation;72012467;14.04,30.01.05,34.05.02,40.01.03.03,73.03.13;"The authors suggest that DISC1 is required for NT-3-induced axon elongation and ERK activation at the distal part of axons by recruiting Grb2 to axonal tips. ";"DISC1 is involved in Schizophrenia.";"";
5271;Kif3-cadherin-catenin complex;;Mouse;P15116,Q02248,P30999,Q61771,P70188;12558,12387,12388,16569,16579;MI:0019- coimmunoprecipitation;15834408;47.03.01.01.01;"";"";"";
147;Src-dynamin-synapsin complex;;Rat;P21575,Q9WUD9,P09951;140694,83805,24949;MI:0006- anti bait coimmunoprecipitation;9539797;20.09.16.09.05;"The SH3 domain of Src, but not that of the splice variant N-Src, bound to three proteins from mouse synaptosomes or PC12 cells: dynamin, synapsin Ia, and synapsin Ib. Src may play a regulatory role in membrane traffic events that are particularly critical in the neuron.";"";"";
409;Gamma-glutamylcysteine synthetase;;Rat;P19468,P48508;25283,29739;MI:0028- cosedimentation in solution;1967255;01.01.03.02,01.01.09.03,01.03.01,16.01;"";"";"";
123;Rnase/Mrp complex;;Human;Q99575,O95707,Q969H6,O75817,O95059,Q9H633,Q9BUL9,P78346,P78345,O75818;10940,10775,51367,10248,11102,79897,54913,10556,10557,10799;MI:0096- pull down;15096576;01.03.16.01,11.04.01,16.03.03,70.10;"RNase MRP is involved in the processing of pre-rRNA and the generation of RNA primers for mitochondrial DNA replication.";"";"";
1625;FA core complex (Fanconi anemia core complex);;Human;O15360,Q8NB91,Q00597,Q9HB96,Q9NPI8,O15287,Q8IYD8;2175,2187,2176,2178,2188,2189,57697;MI:0006- anti bait coimmunoprecipitation;16116434;14.07.05,32.01.09,70.10;"";"FA complex is involved in Fanconi anemia (FA) disease.";"";
