Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
10;13S condensin complex;;Human;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3;9918,64151,23397,10592,10051;MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;11136719;10.03.01.01.11,10.03.04.03,10.03.04.05,42.10.03,70.10.03;"";"";"";
27;Arp2/3 protein complex;;Human;P61160,P61158,O15143,O15144,O15145,P59998,O15511;10097,10096,10095,10109,10094,10093,10092;MI:0027- cosedimentation | MI:0071- molecular sieving;9359840;16.01,42.04.03,70.03;"";"";"";
32;PA700 complex; 19S complex;Human;P62191,P35998,P17980,P43686,P62195,P62333,Q99460,O75832,O00231,O00232,Q9UNM6,O00487,Q13200,O43242,P55036,Q16401,Q15008,P51665,P48556,O00233;5700,5701,5702,5704,5705,5706,5707,5716,5717,5718,5719,10213,5708,5709,5710,5711,9861,5713,5714,5715;MI:0226- ion exchange chromatography | MI:0071- molecular sieving;9148964;14.13.01.01,16.01,18.01.07,18.02.01.01.03,70.03;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
33;Prefoldin;;Human;O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;5201,5202,5203,5204,10471,7411;MI:0071- molecular sieving;14634002;14.01,16.01,42.04.03,42.04.05,70.03;"";"";"";
49;DNMT3B complex;;Human;Q9UBC3,Q13547,O95239,Q96ST3,O60264,O95347,Q9NTJ3;1789,3065,24137,25942,8467,10592,10051;MI:0019- coimmunoprecipitation;15148359;10.01.09.01,10.01.09.05,10.03.01.01.11,10.03.04.05,42.10.03,70.10.03;"";"";"";
86;NUMAC complex (nucleosomal methylation activator complex); CARM1-associated complex;Human;P60709,O14497,Q86X55,Q96KG9,P51532,Q12824,Q92922,Q8TAQ2,Q96GM5,Q969G3;60,8289,10498,57410,6597,6598,6599,6601,6602,6605;MI:0004- affinity chromatography technologies | MI:0029- cosedimentation through density gradients;14729568;10.01.09.05,11.02.03.04.01,14.07.09,16.03.01,30.01.09.08,30.01.11,42.10.03,70.10;"In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones.";"";"";
95;Ku antigen-NARG1 complex; OCFRE-binding complex;Human;Q9BXJ9,P13010,P12956;80155,7520,2547;MI:0004- affinity chromatography technologies;12145306;11.02.03.04,16.03.01,73.03.17;"This complex regulates osteocalcin gene expression.";"";"";
112;Prefoldin complex;;Human;O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;5201,5202,5203,5204,10471,7411;MI:0413- electrophoretic mobility shift assay | MI:0040- electron microscopy | MI:0071- molecular sieving;12456645;14.01,42.04;"";"";"";
126;CCT micro-complex;;Human;P17987,P78371,P49368,P50991,P48643,P40227,Q99832,P50990;6950,10576,7203,10575,22948,908,10574,10694;MI:0029- cosedimentation through density gradients | MI:0047- far western blotting;9250675;14.01,16.01,16.19.03,70.03;"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT.";"";"";
145;CCT:PFD complex;;Mammalia;Q32L40,Q3ZBH0,Q3T0K2,Q2T9X2,Q3T115,Q3MHL7,Q2NKZ1,Q3ZCI9,O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;512043,505313,504735,613336,533784,521540,514355,281047,5201,5202,5203,5204,10471,7411;MI:0040- electron microscopy | MI:0028- cosedimentation in solution | MI:0226- ion exchange chromatography;12456645;14.01,16.01,16.19.03,70.03;"The biogenesis of the cytoskeletal proteins actin and tubulin involves interaction of nascent chains of each of the two proteins with the oligomeric protein prefoldin (PFD) and their subsequent transfer to the cytosolic chaperonin CCT (chaperonin containing TCP-1). Three-dimensional reconstruction of the CCT:PFD complex based on cryoelectron microscopy reveals that PFD binds to each of the two CCT rings.";"";"";
