Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
10;13S condensin complex;;Human;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3;9918,64151,23397,10592,10051;MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;11136719;10.03.01.01.11,10.03.04.03,10.03.04.05,42.10.03,70.10.03;"";"";"";
27;Arp2/3 protein complex;;Human;P61160,P61158,O15143,O15144,O15145,P59998,O15511;10097,10096,10095,10109,10094,10093,10092;MI:0027- cosedimentation | MI:0071- molecular sieving;9359840;16.01,42.04.03,70.03;"";"";"";
30;PA28 complex; 11S REG;Human;Q06323,Q9UL46;5720,5721;MI:0071- molecular sieving | MI:0226- ion exchange chromatography;9325261;14.13.01.01,18.01.07,18.02.01.01.03,70.03;"PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.";"";"";
32;PA700 complex; 19S complex;Human;P62191,P35998,P17980,P43686,P62195,P62333,Q99460,O75832,O00231,O00232,Q9UNM6,O00487,Q13200,O43242,P55036,Q16401,Q15008,P51665,P48556,O00233;5700,5701,5702,5704,5705,5706,5707,5716,5717,5718,5719,10213,5708,5709,5710,5711,9861,5713,5714,5715;MI:0226- ion exchange chromatography | MI:0071- molecular sieving;9148964;14.13.01.01,16.01,18.01.07,18.02.01.01.03,70.03;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
33;Prefoldin;;Human;O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;5201,5202,5203,5204,10471,7411;MI:0071- molecular sieving;14634002;14.01,16.01,42.04.03,42.04.05,70.03;"";"";"";
36;AP1 adaptor complex;;Human;Q10567,O43747,O75843,Q9BXS5,Q9Y6Q5,P61966,P56377,Q96PC3;162,164,8906,8907,10053,1174,8905,130340;MI:0018- two hybrid;9733768;14.04,20.09.07,20.09.07.25,20.09.18.09.01,42.09;"This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.";"";"";
49;DNMT3B complex;;Human;Q9UBC3,Q13547,O95239,Q96ST3,O60264,O95347,Q9NTJ3;1789,3065,24137,25942,8467,10592,10051;MI:0019- coimmunoprecipitation;15148359;10.01.09.01,10.01.09.05,10.03.01.01.11,10.03.04.05,42.10.03,70.10.03;"";"";"";
54;SIN3 complex; Histone deacetylase complex;Human;Q13547,Q92769,Q09028,Q16576,O00422,O75446,Q96ST3;3065,3066,5928,5931,10284,8819,25942;MI:0004- affinity chromatography technologies;9150135;10.01.09.05,11.02.03.04.03,14.07.04,16.01,42.10.03,70.10;"";"";"";
59;AP3 adapter complex;;Human;O00203,Q13367,O14617,Q9Y2T2,P53677,Q92572,P59780;8546,8120,8943,26985,10947,1176,10239;MI:0019- coimmunoprecipitation;9151686;14.04,20.09.07.06,20.09.18.09.01,70.25;"";"";"";
61;Mi2/NuRD complex; Mi2-beta-histone deacetylase complex;Human;Q14839,Q13547,Q92769,O95983,O94776,Q09028,Q16576;1108,3065,3066,53615,9219,5928,5931;MI:0004- affinity chromatography technologies;9790534;10.01.09.05,11.02.03.04.03,11.02.03.04.07,14.07.04,42.10.03,70.10;"";"Dermatomyositis, cancer (PMID:9790534)";"";
